utc,steptype,heatread
29/08/2017 12:56,2,170.8
29/08/2017 12:56,2,170.8
29/08/2017 12:56,2,170.8
29/08/2017 12:56,2,170.9
29/08/2017 12:56,2,170.9
29/08/2017 12:56,2,171
29/08/2017 12:56,2,171
29/08/2017 12:56,2,171
29/08/2017 12:56,2,171
29/08/2017 12:56,2,171
29/08/2017 12:56,2,171
29/08/2017 12:56,2,171.1
29/08/2017 12:56,2,171.1
29/08/2017 12:56,2,171.2
29/08/2017 12:56,2,171.2
29/08/2017 12:56,2,171.2
29/08/2017 12:56,2,171.2
29/08/2017 12:56,2,171.2
29/08/2017 12:56,2,171.2
29/08/2017 12:56,2,171.2
29/08/2017 12:56,2,171.2
29/08/2017 12:56,2,171.3
29/08/2017 12:56,2,171.3
29/08/2017 12:56,2,171.3
29/08/2017 12:56,2,171.3
29/08/2017 12:56,2,171.3
29/08/2017 12:56,2,171.3
29/08/2017 12:56,2,171.4
29/08/2017 12:56,2,171.4
29/08/2017 12:56,2,171.5
29/08/2017 12:56,2,171.5
29/08/2017 12:56,2,171.5
29/08/2017 12:56,2,171.5
29/08/2017 12:56,2,171.5
29/08/2017 12:56,2,171.5
29/08/2017 12:56,2,171.5
29/08/2017 12:56,2,171.5
29/08/2017 12:56,2,171.6
29/08/2017 12:56,2,171.6
29/08/2017 12:56,2,171.7
29/08/2017 12:56,2,171.7
29/08/2017 12:56,2,171.6
29/08/2017 12:56,2,171.6
29/08/2017 12:56,2,171.6
29/08/2017 12:56,2,171.6
29/08/2017 12:56,2,171.7
29/08/2017 12:56,2,171.7
29/08/2017 12:57,2,171.7
29/08/2017 12:57,2,171.7
29/08/2017 12:57,2,171.8
29/08/2017 12:57,2,171.8
29/08/2017 12:57,2,171.7
29/08/2017 12:57,2,171.7
29/08/2017 12:57,2,171.8
29/08/2017 12:57,2,171.8
29/08/2017 12:57,2,171.8
29/08/2017 12:57,2,171.8
29/08/2017 12:57,2,
29/08/2017 12:57,2,
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,171.9
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172
29/08/2017 12:57,2,172.1
